,0,1,2,3,label
0,Mary,F,7065,1880,0
1,Anna,F,2604,1880,0
2,Emma,F,2003,1880,0
3,Elizabeth,F,1939,1880,0
4,Minnie,F,1746,1880,0
5,Margaret,F,1578,1880,0
6,Ida,F,1472,1880,0
7,Alice,F,1414,1880,0
8,Bertha,F,1320,1880,0
9,Sarah,F,1288,1880,0
10,John,M,9655,1880,0
11,William,M,9532,1880,0
12,James,M,5927,1880,0
13,Charles,M,5348,1880,0
14,George,M,5126,1880,0
15,Frank,M,3242,1880,0
16,Joseph,M,2632,1880,0
17,Thomas,M,2534,1880,0
18,Henry,M,2444,1880,0
19,Robert,M,2415,1880,0
20,Mary,F,6919,1881,0
21,Anna,F,2698,1881,0
22,Emma,F,2034,1881,0
23,Elizabeth,F,1852,1881,0
24,Margaret,F,1658,1881,0
25,Minnie,F,1653,1881,0
26,Ida,F,1439,1881,0
27,Annie,F,1326,1881,0
28,Bertha,F,1324,1881,0
29,Alice,F,1308,1881,0
30,John,M,8769,1881,0
31,William,M,8524,1881,0
32,James,M,5441,1881,0
33,George,M,4664,1881,0
34,Charles,M,4636,1881,0
35,Frank,M,2834,1881,0
36,Joseph,M,2456,1881,0
37,Henry,M,2339,1881,0
38,Thomas,M,2282,1881,0
39,Edward,M,2177,1881,0
40,Mary,F,8148,1882,0
41,Anna,F,3143,1882,0
42,Emma,F,2303,1882,0
43,Elizabeth,F,2186,1882,0
44,Minnie,F,2004,1882,0
45,Margaret,F,1821,1882,0
46,Ida,F,1673,1882,0
47,Alice,F,1542,1882,0
48,Bertha,F,1508,1882,0
49,Annie,F,1492,1882,0
50,John,M,9557,1882,0
51,William,M,9298,1882,0
52,James,M,5892,1882,0
53,George,M,5193,1882,0
54,Charles,M,5091,1882,0
55,Frank,M,3176,1882,0
56,Joseph,M,2670,1882,0
57,Thomas,M,2610,1882,0
58,Henry,M,2579,1882,0
59,Robert,M,2500,1882,0
60,Mary,F,8012,1883,0
61,Anna,F,3306,1883,0
62,Emma,F,2367,1883,0
63,Elizabeth,F,2255,1883,0
64,Minnie,F,2035,1883,0
65,Margaret,F,1881,1883,0
66,Bertha,F,1681,1883,0
67,Ida,F,1634,1883,0
68,Annie,F,1589,1883,0
69,Clara,F,1548,1883,0
70,John,M,8894,1883,0
71,William,M,8387,1883,0
72,James,M,5223,1883,0
73,Charles,M,4826,1883,0
74,George,M,4736,1883,0
75,Frank,M,2986,1883,0
76,Joseph,M,2515,1883,0
77,Henry,M,2383,1883,0
78,Robert,M,2334,1883,0
79,Thomas,M,2316,1883,0
80,Mary,F,9217,1884,0
81,Anna,F,3860,1884,0
82,Emma,F,2587,1884,0
83,Elizabeth,F,2549,1884,0
84,Minnie,F,2243,1884,0
85,Margaret,F,2142,1884,0
86,Ida,F,1882,1884,0
87,Clara,F,1852,1884,0
88,Bertha,F,1789,1884,0
89,Annie,F,1739,1884,0
90,John,M,9388,1884,0
91,William,M,8897,1884,0
92,James,M,5693,1884,0
93,George,M,4961,1884,0
94,Charles,M,4802,1884,0
95,Frank,M,3218,1884,0
96,Joseph,M,2707,1884,0
97,Thomas,M,2572,1884,0
98,Henry,M,2474,1884,0
99,Robert,M,2468,1884,0
100,Mary,F,9128,1885,0
101,Anna,F,3994,1885,0
102,Emma,F,2728,1885,0
103,Elizabeth,F,2582,1885,0
104,Margaret,F,2204,1885,0
105,Minnie,F,2178,1885,0
106,Clara,F,1910,1885,0
107,Bertha,F,1860,1885,0
108,Ida,F,1854,1885,0
109,Annie,F,1703,1885,0
110,John,M,8756,1885,0
111,William,M,8044,1885,0
112,James,M,5175,1885,0
113,George,M,4674,1885,0
114,Charles,M,4599,1885,0
115,Frank,M,3067,1885,0
116,Joseph,M,2540,1885,0
117,Henry,M,2406,1885,0
118,Robert,M,2322,1885,0
119,Thomas,M,2266,1885,0
120,Mary,F,9889,1886,0
121,Anna,F,4283,1886,0
122,Emma,F,2764,1886,0
123,Elizabeth,F,2680,1886,0
124,Minnie,F,2372,1886,0
125,Margaret,F,2275,1886,0
126,Ida,F,2049,1886,0
127,Bertha,F,2001,1886,0
128,Clara,F,1916,1886,0
129,Florence,F,1860,1886,0
130,John,M,9026,1886,0
131,William,M,8252,1886,0
132,James,M,5355,1886,0
133,George,M,4671,1886,0
134,Charles,M,4533,1886,0
135,Frank,M,3127,1886,0
136,Joseph,M,2594,1886,0
137,Robert,M,2443,1886,0
138,Henry,M,2404,1886,0
139,Thomas,M,2337,1886,0
140,Mary,F,9888,1887,0
141,Anna,F,4227,1887,0
142,Elizabeth,F,2681,1887,0
143,Emma,F,2647,1887,0
144,Margaret,F,2419,1887,0
145,Minnie,F,2215,1887,0
146,Bertha,F,2037,1887,0
147,Clara,F,1984,1887,0
148,Florence,F,1964,1887,0
149,Ida,F,1929,1887,0
150,John,M,8110,1887,0
151,William,M,7470,1887,0
152,James,M,4768,1887,0
153,George,M,4284,1887,0
154,Charles,M,4031,1887,0
155,Frank,M,2883,1887,0
156,Joseph,M,2456,1887,0
157,Henry,M,2228,1887,0
158,Thomas,M,2151,1887,0
159,Edward,M,2125,1887,0
160,Mary,F,11754,1888,0
161,Anna,F,4982,1888,0
162,Elizabeth,F,3224,1888,0
163,Emma,F,3087,1888,0
164,Margaret,F,2904,1888,0
165,Minnie,F,2654,1888,0
166,Bertha,F,2450,1888,0
167,Florence,F,2444,1888,0
168,Ethel,F,2374,1888,0
169,Bessie,F,2278,1888,0
170,John,M,9247,1888,0
171,William,M,8705,1888,0
172,James,M,5562,1888,0
173,George,M,4912,1888,0
174,Charles,M,4591,1888,0
175,Frank,M,3459,1888,0
176,Joseph,M,2993,1888,0
177,Robert,M,2814,1888,0
178,Harry,M,2759,1888,0
179,Henry,M,2596,1888,0
180,Mary,F,11648,1889,0
181,Anna,F,5062,1889,0
182,Elizabeth,F,3058,1889,0
183,Margaret,F,2917,1889,0
184,Emma,F,2884,1889,0
185,Minnie,F,2624,1889,0
186,Florence,F,2465,1889,0
187,Ethel,F,2463,1889,0
188,Bessie,F,2343,1889,0
189,Clara,F,2319,1889,0
190,John,M,8548,1889,0
191,William,M,7772,1889,0
192,James,M,5020,1889,0
193,George,M,4430,1889,0
194,Charles,M,4199,1889,0
195,Frank,M,2975,1889,0
196,Joseph,M,2729,1889,0
197,Harry,M,2559,1889,0
198,Robert,M,2513,1889,0
199,Edward,M,2299,1889,0
200,Mary,F,12078,1890,0
201,Anna,F,5233,1890,0
202,Elizabeth,F,3112,1890,0
203,Margaret,F,3100,1890,0
204,Emma,F,2980,1890,0
205,Florence,F,2744,1890,0
206,Ethel,F,2718,1890,0
207,Minnie,F,2650,1890,0
208,Clara,F,2496,1890,0
209,Bertha,F,2388,1890,0
210,John,M,8502,1890,0
211,William,M,7494,1890,0
212,James,M,5097,1890,0
213,George,M,4458,1890,0
214,Charles,M,4061,1890,0
215,Frank,M,3078,1890,0
216,Joseph,M,2670,1890,0
217,Robert,M,2541,1890,0
218,Henry,M,2349,1890,0
219,Harry,M,2345,1890,0
220,Mary,F,11703,1891,0
221,Anna,F,5099,1891,0
222,Margaret,F,3065,1891,0
223,Elizabeth,F,3059,1891,0
224,Emma,F,2884,1891,0
225,Florence,F,2715,1891,0
226,Ethel,F,2689,1891,0
227,Minnie,F,2428,1891,0
228,Helen,F,2417,1891,0
229,Bertha,F,2372,1891,0
230,John,M,7680,1891,0
231,William,M,6763,1891,0
232,James,M,4516,1891,0
233,George,M,3931,1891,0
234,Charles,M,3640,1891,0
235,Frank,M,2652,1891,0
236,Joseph,M,2572,1891,0
237,Robert,M,2240,1891,0
238,Harry,M,2132,1891,0
239,Henry,M,2049,1891,0
240,Mary,F,13172,1892,0
241,Anna,F,5542,1892,0
242,Elizabeth,F,3461,1892,0
243,Margaret,F,3435,1892,0
244,Ruth,F,3290,1892,0
245,Florence,F,3154,1892,0
246,Emma,F,3128,1892,0
247,Ethel,F,3035,1892,0
248,Helen,F,2936,1892,0
249,Clara,F,2661,1892,0
250,John,M,9039,1892,0
251,William,M,7782,1892,0
252,James,M,5398,1892,0
253,George,M,4760,1892,0
254,Charles,M,4319,1892,0
255,Frank,M,3150,1892,0
256,Joseph,M,3064,1892,0
257,Robert,M,2710,1892,0
258,Harry,M,2460,1892,0
259,Henry,M,2452,1892,0
260,Mary,F,12784,1893,0
261,Anna,F,5695,1893,0
262,Ruth,F,3658,1893,0
263,Margaret,F,3565,1893,0
264,Elizabeth,F,3360,1893,0
265,Helen,F,3249,1893,0
266,Florence,F,3231,1893,0
267,Ethel,F,3119,1893,0
268,Emma,F,2968,1893,0
269,Bertha,F,2623,1893,0
270,John,M,8049,1893,0
271,William,M,7223,1893,0
272,James,M,5030,1893,0
273,George,M,4320,1893,0
274,Charles,M,3723,1893,0
275,Joseph,M,2997,1893,0
276,Frank,M,2917,1893,0
277,Robert,M,2563,1893,0
278,Edward,M,2309,1893,0
279,Harry,M,2245,1893,0
280,Mary,F,13151,1894,0
281,Anna,F,5565,1894,0
282,Margaret,F,3700,1894,0
283,Helen,F,3676,1894,0
284,Elizabeth,F,3425,1894,0
285,Ruth,F,3372,1894,0
286,Ethel,F,3287,1894,0
287,Florence,F,3233,1894,0
288,Emma,F,2937,1894,0
289,Marie,F,2649,1894,0
290,John,M,8238,1894,0
291,William,M,7274,1894,0
292,James,M,5110,1894,0
293,George,M,4365,1894,0
294,Charles,M,3788,1894,0
295,Joseph,M,2977,1894,0
296,Frank,M,2863,1894,0
297,Robert,M,2497,1894,0
298,Henry,M,2278,1894,0
299,Harry,M,2189,1894,0
300,Mary,F,13446,1895,0
301,Anna,F,5950,1895,0
302,Helen,F,4023,1895,0
303,Margaret,F,3931,1895,0
